File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Affectationrole_.java,23,17,14,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Affectationutilisateur_.java,25,19,16,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Affectation_.java,27,21,18,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Agentcat_.java,23,17,14,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Agent_.java,36,30,27,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Article_.java,28,22,19,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Besoins_.java,24,18,15,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Bonaffectation_.java,24,18,15,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Bondotation_.java,24,18,15,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Bonrestitution_.java,25,19,16,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Bon_.java,26,20,17,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Categorie_.java,21,15,12,0,6,0,0,0,0,0
C:\Users\ZORE\Documents\NetBeansProjects\gimmo3\build\generated-sources\ap-source-output\com\entities\Dotation_.java,25,19,16,0,6,0,0,0,0,0
